OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036BV,2026-08-25T16:00:32.821056,14.44994036,.00282984,74.0455,121.8765,134.9111,255.8580,0,U,33828,999,92009,.22919654E-3,.777E-5,0
COSMOS 2251 DEB,1993-036BX,2026-08-25T22:45:11.155392,14.79573691,.00413335,74.0292,86.7707,143.8362,282.9060,0,U,33830,999,93258,.54664805E-3,.4121E-4,0
COSMOS 2251 DEB,1993-036BZ,2026-08-25T12:54:23.505984,14.63568203,.0022675,74.0527,80.5625,50.8716,337.0868,0,U,33832,999,92164,.76791941E-3,.3973E-4,0
COSMOS 2251 DEB,1993-036CC,2026-08-25T17:58:23.617344,14.64251486,.00558944,74.0583,330.5032,316.9212,201.3407,0,U,33835,999,92534,.39765551E-3,.2112E-4,0
COSMOS 2251 DEB,1993-036CD,2026-08-25T08:43:55.255008,14.83829214,.00238107,73.9957,112.6190,253.6159,223.4555,0,U,33836,999,67875,.67832427E-3,.5621E-4,0
COSMOS 2251 DEB,1993-036CE,2026-08-25T20:19:55.252992,14.51159345,.00326811,74.0119,293.2220,91.7505,268.7399,0,U,33837,999,92510,.12665003E-3,.478E-5,0
COSMOS 2251 DEB,1993-036CF,2026-08-25T10:36:41.968224,14.49004667,.00260086,74.0370,30.6514,87.9227,303.2016,0,U,33838,999,92272,.27046447E-3,.1003E-4,0
COSMOS 2251 DEB,1993-036CG,2026-08-25T00:02:19.571424,14.65022557,.00829103,74.0370,75.7022,123.5022,27.0916,0,U,33839,999,93317,.16936775E-3,.922E-5,0
COSMOS 2251 DEB,1993-036CJ,2026-08-25T06:42:17.949888,14.38150920,.0021134,74.0382,167.4231,192.8005,321.6845,0,U,33841,999,91787,.1293E-3,.367E-5,0
COSMOS 2251 DEB,1993-036CK,2026-08-25T02:07:57.907488,14.43155176,.00465126,74.0321,105.4717,152.3667,207.9977,0,U,33842,999,92020,.16681236E-3,.541E-5,0
COSMOS 2251 DEB,1993-036CM,2026-08-25T07:30:27.160704,14.34244021,.00495191,74.0668,305.9482,265.9479,163.9613,0,U,33844,999,91389,.21709005E-3,.591E-5,0
COSMOS 2251 DEB,1993-036CR,2026-08-25T10:30:13.869792,14.45590802,.00446916,74.0272,241.1755,240.8101,286.4295,0,U,33848,999,91524,.53208845E-3,.1875E-4,0
COSMOS 2251 DEB,1993-036CV,2026-08-25T09:01:30.213696,14.24041547,.01144319,73.8039,355.3712,340.9095,81.4055,0,U,33892,999,90593,.28989841E-3,.685E-5,0
COSMOS 2251 DEB,1993-036CX,2026-08-25T14:26:50.144928,13.21943030,.0569528,73.7685,313.0905,196.2749,161.9374,0,U,33894,999,84088,.22105E-2,.2143E-4,0
COSMOS 2251 DEB,1993-036CZ,2026-08-25T12:01:42.312288,14.19686155,.01245901,73.7657,52.0500,184.9578,207.0688,0,U,33896,999,90369,.42351628E-3,.941E-5,0
COSMOS 2251 DEB,1993-036DC,2026-08-25T08:20:08.174976,14.62933571,.00575343,74.0532,316.7298,312.1587,117.9747,0,U,33899,999,92575,.35774091E-3,.1843E-4,0
COSMOS 2251 DEB,1993-036DD,2026-08-25T17:43:03.936864,14.59253109,.00489164,74.0155,231.6995,316.8879,217.9330,0,U,33900,999,92769,.3211618E-3,.1511E-4,0
COSMOS 2251 DEB,1993-036DJ,2026-08-25T21:37:18.930720,14.36194282,.00554241,73.8852,202.1750,35.4199,354.9778,0,U,33905,999,91364,.52536764E-3,.1533E-4,0
COSMOS 2251 DEB,1993-036DK,2026-08-25T15:09:56.459808,14.60583777,.0033921,74.0278,193.6160,172.3768,2.3858,0,U,33906,999,91740,.10678E-2,.5206E-4,0
COSMOS 2251 DEB,1993-036DL,2026-08-25T03:09:35.469792,14.33212743,.01177531,74.0682,288.5671,282.5737,105.8271,0,U,33907,999,90236,.10523169E-2,.3098E-4,0
COSMOS 2251 DEB,1993-036DM,2026-08-25T02:00:11.223072,14.09052118,.02194299,73.8358,111.9068,89.5158,273.1117,0,U,33908,999,89068,.94007638E-3,.2012E-4,0
COSMOS 2251 DEB,1993-036DQ,2026-08-24T14:22:31.027008,14.80769339,.00104264,74.0898,22.8900,248.1729,236.8204,0,U,33911,999,92410,.12808022E-2,.9859E-4,0
COSMOS 2251 DEB,1993-036DR,2026-08-24T00:09:40.724640,14.53245984,.00106479,74.0317,70.1279,90.2229,62.9386,0,U,33912,999,92125,.42808873E-3,.1749E-4,0
COSMOS 2251 DEB,1993-036DS,2026-08-25T12:14:15.880128,14.49368435,.00468146,74.0320,64.0392,103.8698,287.0119,0,U,33913,999,92162,.3654344E-3,.1388E-4,0
COSMOS 2251 DEB,1993-036DT,2026-08-25T11:17:59.414784,13.72267963,.03042205,74.0910,313.4960,356.7668,16.0765,0,U,33914,999,87589,.1565973E-3,.176E-5,0
COSMOS 2251 DEB,1993-036DU,2026-08-25T20:04:52.055040,14.35687496,.01072352,74.0416,284.4859,313.4089,164.1878,0,U,33915,999,91432,.21207028E-3,.626E-5,0
COSMOS 2251 DEB,1993-036DV,2026-08-25T08:03:14.628672,13.68809986,.03232231,74.0539,340.5580,95.6291,323.3104,0,U,33916,999,87388,.14868221E-3,.165E-5,0
COSMOS 2251 DEB,1993-036DW,2026-08-25T22:15:00.063648,13.69977607,.03334086,74.1039,62.0643,102.4284,261.4352,0,U,33917,999,87241,.11573929E-2,.1484E-4,0
COSMOS 2251 DEB,1993-036DZ,2026-08-25T05:53:26.433312,14.61625654,.0031758,74.0598,171.3866,119.7627,240.6705,0,U,33920,999,91844,.10843E-2,.5405E-4,0
COSMOS 2251 DEB,1993-036EB,2026-08-25T09:13:14.822976,14.50208831,.00220078,74.0473,28.0952,73.0470,313.2411,0,U,33922,999,92283,.28070523E-3,.1068E-4,0
COSMOS 2251 DEB,1993-036ED,2026-08-25T07:59:49.039008,13.50516468,.04025456,73.9106,219.2548,208.3316,149.5369,0,U,33924,999,86189,.30919412E-3,.306E-5,0
COSMOS 2251 DEB,1993-036EH,2026-08-25T02:43:11.815680,14.47880388,.00598294,73.9247,291.5424,172.2854,187.9240,0,U,33928,999,92340,.13264501E-3,.473E-5,0
COSMOS 2251 DEB,1993-036EM,2026-08-25T21:54:13.945824,14.39358146,.0037521,74.0326,203.1748,221.6918,138.1377,0,U,33932,999,91683,.26684953E-3,.81E-5,0
COSMOS 2251 DEB,1993-036EN,2026-08-25T15:23:58.988544,14.33941872,.00726092,74.0898,313.5203,257.7717,101.5297,0,U,33933,999,91452,.17038371E-3,.463E-5,0
COSMOS 2251 DEB,1993-036EP,2026-08-25T16:01:06.580992,14.60783149,.00159636,74.0391,332.1779,21.4844,338.6989,0,U,33934,999,92474,.43262055E-3,.2086E-4,0
COSMOS 2251 DEB,1993-036ER,2026-08-25T12:04:30.965088,14.61700212,.00282969,74.0146,268.0103,351.3063,8.7609,0,U,33936,999,92625,.34014004E-3,.1673E-4,0
COSMOS 2251 DEB,1993-036ET,2026-08-25T07:18:00.154080,14.47567599,.0015772,74.0434,89.6710,112.2152,5.0787,0,U,33938,999,92097,.26439E-3,.948E-5,0
COSMOS 2251 DEB,1993-036EU,2026-08-25T03:32:58.119360,15.40377962,.0012691,73.9907,266.2857,306.9553,53.0491,0,U,33939,999,92626,.39168E-2,.162075E-2,0
COSMOS 2251 DEB,1993-036EV,2026-08-25T08:22:48.242208,14.60784142,.0011511,74.0403,15.8735,28.1467,357.7737,0,U,33940,999,92324,.60215006E-3,.2914E-4,0
COSMOS 2251 DEB,1993-036EX,2026-08-25T18:39:05.234688,14.38277559,.0020862,74.0370,163.1604,191.3021,197.9926,0,U,33942,999,91815,.12488506E-3,.354E-5,0
COSMOS 2251 DEB,1993-036EZ,2026-08-25T21:36:20.119104,14.37752529,.01143269,74.0394,197.4482,235.1183,143.8717,0,U,33944,999,91709,.14094181E-3,.429E-5,0
COSMOS 2251 DEB,1993-036FA,2026-08-25T21:29:19.957632,14.34764935,.00237221,74.0291,196.8280,226.5817,133.3361,0,U,33945,999,91689,.71265012E-4,.176E-5,0
COSMOS 2251 DEB,1993-036FD,2026-08-25T07:35:06.539424,14.35860611,.00242021,74.0350,196.1101,215.9407,144.0119,0,U,33948,999,91691,.1082903E-3,.288E-5,0
COSMOS 2251 DEB,1993-036FE,2026-08-25T11:56:58.951392,14.40104463,.00190615,74.0252,140.8832,186.9151,347.6101,0,U,33971,999,91820,.15395479E-3,.46E-5,0
COSMOS 2251 DEB,1993-036FF,2026-08-25T21:40:17.179104,14.38530497,.01213988,73.9930,77.8166,185.5877,239.1792,0,U,33972,999,90755,.10255109E-2,.3389E-4,0
COSMOS 2251 DEB,1993-036FG,2026-08-25T09:11:28.519872,14.45602468,.00449178,74.0105,345.4782,102.7953,324.2923,0,U,33973,999,92294,.77796553E-4,.251E-5,0
COSMOS 2251 DEB,1993-036FJ,2026-08-25T08:08:38.691744,14.00851724,.01897598,73.8032,355.0050,83.5251,278.7448,0,U,33975,999,89408,.22959158E-3,.377E-5,0
COSMOS 2251 DEB,1993-036FP,2026-08-25T07:44:02.338656,14.59995946,.00290399,74.0187,291.6543,5.6394,74.4479,0,U,33980,999,92523,.27946845E-3,.1319E-4,0
COSMOS 2251 DEB,1993-036FR,2026-08-25T17:38:35.488608,14.61257702,.0075215,74.0669,231.7335,211.4219,323.6488,0,U,33982,999,92897,.19619072E-3,.975E-5,0
COSMOS 2251 DEB,1993-036FS,2026-08-25T04:22:45.878880,14.51500219,.0020218,74.0501,26.8827,62.9806,111.5725,0,U,33983,999,92334,.29842E-3,.1168E-4,0
COSMOS 2251 DEB,1993-036FT,2026-08-25T21:27:51.320736,14.68419833,.00238176,74.0059,211.5337,333.9059,48.0505,0,U,33984,999,92824,.61922508E-3,.3568E-4,0
COSMOS 2251 DEB,1993-036FV,2026-08-25T15:09:11.251008,14.44198692,.0042168,74.0352,186.9083,202.2556,333.0145,0,U,33986,999,91721,.39524E-3,.1344E-4,0
COSMOS 2251 DEB,1993-036FZ,2026-08-25T09:41:15.157824,13.50290765,.04052956,73.9248,235.4446,208.5237,225.3891,0,U,33990,999,86180,.34492366E-3,.345E-5,0
COSMOS 2251 DEB,1993-036GB,2026-08-25T21:32:53.488320,14.68054160,.00547428,74.0217,202.7918,256.6350,133.3535,0,U,33992,999,92882,.47462825E-3,.2753E-4,0
COSMOS 2251 DEB,1993-036GD,2026-08-25T21:20:59.178912,14.41359558,.00226092,74.0414,76.3284,151.6187,271.3416,0,U,33994,999,92110,.62840363E-4,.178E-5,0
COSMOS 2251 DEB,1993-036GE,2026-08-25T09:12:49.864608,14.35827442,.00607221,74.0614,11.1820,322.1971,37.4924,0,U,33995,999,91187,.44248116E-3,.1282E-4,0
COSMOS 2251 DEB,1993-036GJ,2026-08-25T12:38:59.707680,14.88997760,.00403549,73.9139,78.0898,268.8798,90.7759,0,U,33999,999,93051,.71859523E-3,.6831E-4,0
COSMOS 2251 DEB,1993-036GL,2026-08-25T06:19:10.541280,14.37333733,.0020716,74.0392,171.6313,197.5559,313.8846,0,U,34001,999,91817,.11945E-3,.331E-5,0
COSMOS 2251 DEB,1993-036GN,2026-08-25T07:58:41.329056,13.85081192,.02782863,74.0755,214.4897,267.2506,89.6742,0,U,34003,999,87963,.87219207E-3,.131E-4,0
COSMOS 2251 DEB,1993-036GP,2026-08-25T07:55:01.483392,14.50907686,.00297134,74.0334,192.9877,151.9112,208.3660,0,U,34004,999,91735,.69791976E-3,.2744E-4,0
COSMOS 2251 DEB,1993-036GQ,2026-08-25T23:22:38.154144,14.40473418,.0020144,74.0438,100.1586,160.3666,264.9122,0,U,34005,999,92068,.72698433E-4,.205E-5,0
COSMOS 2251 DEB,1993-036GR,2026-08-25T08:29:55.442688,15.20982546,.00020914,74.0562,338.2266,338.2165,95.0116,0,U,34006,999,92520,.30956501E-2,.69261E-3,0
COSMOS 2251 DEB,1993-036GS,2026-08-25T09:08:19.872384,14.66473769,.004773,74.0163,214.0136,283.2221,76.3626,0,U,34007,999,92825,.50007283E-3,.2785E-4,0
COSMOS 2251 DEB,1993-036GT,2026-08-25T09:22:27.083136,14.33288680,.00230176,74.0321,223.2483,162.6464,269.3165,0,U,34008,999,91627,.69269834E-4,.165E-5,0
COSMOS 2251 DEB,1993-036GU,2026-08-25T09:02:32.978976,14.33392240,.00287626,74.0346,229.7007,241.0101,240.6902,0,U,34009,999,91608,.84753545E-4,.209E-5,0
COSMOS 2251 DEB,1993-036GW,2026-08-25T07:55:39.579744,14.42921685,.00399359,74.0117,215.3412,242.3194,117.3908,0,U,34011,999,91601,.55099533E-3,.1833E-4,0
COSMOS 2251 DEB,1993-036GZ,2026-08-25T17:44:19.677696,14.75737770,.00392231,74.0167,140.1003,216.6053,174.5728,0,U,34014,999,93077,.48415659E-3,.3322E-4,0
COSMOS 2251 DEB,1993-036HA,2026-08-25T09:50:01.162752,14.61938764,.00209191,74.0239,30.2890,62.6737,326.9461,0,U,34015,999,92265,.74881015E-3,.3733E-4,0
COSMOS 2251 DEB,1993-036HD,2026-08-25T09:23:41.936640,13.81352785,.02653445,73.8781,18.7105,7.4082,22.0962,0,U,34018,999,88187,.14617639E-3,.179E-5,0
COSMOS 2251 DEB,1993-036HE,2026-08-25T14:35:00.597120,14.34809855,.0059987,73.9528,299.7984,60.4414,90.8125,0,U,34019,999,91189,.34736E-3,.979E-5,0
COSMOS 2251 DEB,1993-036HG,2026-08-25T15:40:11.883648,14.50645307,.00192578,74.0372,8.9915,87.5283,285.5937,0,U,34021,999,92340,.25858332E-3,.99E-5,0
COSMOS 2251 DEB,1993-036HH,2026-08-25T04:57:45.459360,14.39263807,.0022198,74.0547,159.9367,168.0696,343.1470,0,U,34022,999,91870,.1302E-3,.379E-5,0
COSMOS 2251 DEB,1993-036HJ,2026-08-25T04:52:51.047904,14.41011213,.001881,74.0250,138.7661,180.2586,341.4214,0,U,34023,999,91893,.18443E-3,.568E-5,0
COSMOS 2251 DEB,1993-036HK,2026-08-25T21:48:05.863680,14.35627265,.0021793,74.0452,206.3716,201.9177,188.2604,0,U,34024,999,91700,.10772602E-3,.285E-5,0
COSMOS 2251 DEB,1993-036HM,2026-08-24T09:31:48.817056,13.65765502,.03444418,73.7653,273.6853,104.1027,274.5968,0,U,34026,999,87008,.43557767E-3,.515E-5,0
COSMOS 2251 DEB,1993-036HP,2026-08-25T07:31:19.315200,13.20816270,.05447068,73.8837,315.3010,50.0624,12.0474,0,U,34028,999,84382,.56412143E-4,.33E-6,0
COSMOS 2251 DEB,1993-036HS,2026-08-25T09:08:34.924992,14.61921494,.00225443,74.0138,6.4128,60.8558,329.6104,0,U,34031,999,92299,.67688977E-3,.3372E-4,0
COSMOS 2251 DEB,1993-036HW,2026-08-25T10:54:26.119872,14.54550198,.00403551,74.0616,227.0502,172.5606,344.0085,0,U,34035,999,91681,.74817799E-3,.3198E-4,0
COSMOS 2251 DEB,1993-036HX,2026-08-25T08:42:53.688096,15.22869978,.00129562,74.0032,342.1574,340.3057,19.7639,0,U,34036,999,92424,.37365234E-2,.88786E-3,0
COSMOS 2251 DEB,1993-036HY,2026-08-25T07:13:13.163520,14.35324651,.00551932,74.0510,302.4049,289.9488,69.5724,0,U,34037,999,91383,.2562005E-3,.721E-5,0
COSMOS 2251 DEB,1993-036JB,2026-08-25T14:44:10.235040,13.69177934,.0336588,73.9587,2.7518,265.9209,90.3378,0,U,34040,999,87101,.14277E-2,.1815E-4,0
COSMOS 2251 DEB,1993-036JG,2026-08-25T21:04:24.604320,14.34181957,.00274098,74.0380,202.1152,227.4252,153.1811,0,U,34045,999,91705,.53245982E-4,.124E-5,0
COSMOS 2251 DEB,1993-036JH,2026-08-25T00:26:04.596864,14.48428590,.00789003,74.0352,252.9360,273.9739,113.4389,0,U,34046,999,91520,.4925026E-3,.189E-4,0
COSMOS 2251 DEB,1993-036JM,2026-08-25T03:16:24.148704,13.96740639,.02193595,74.0869,291.6782,294.8679,92.5921,0,U,34050,999,88997,.47749113E-3,.787E-5,0
COSMOS 2251 DEB,1993-036JQ,2026-08-25T20:05:51.296064,13.49406169,.042407,73.8443,189.3336,295.2442,60.5278,0,U,34053,999,86138,.31186485E-3,.318E-5,0
COSMOS 2251 DEB,1993-036JT,2026-08-25T17:38:08.920608,14.21972006,.0126374,74.0591,337.9639,324.4824,198.4444,0,U,34056,999,90048,.76087607E-3,.1797E-4,0
COSMOS 2251 DEB,1993-036JV,2026-08-25T03:55:36.013728,13.56349930,.03776138,73.9322,123.9894,70.7674,94.7519,0,U,34058,999,86605,.49596768E-3,.534E-5,0
COSMOS 2251 DEB,1993-036JW,2026-08-25T12:36:30.130272,14.54211468,.00176443,74.0359,63.1455,77.5355,313.9301,0,U,34059,999,92176,.39079087E-3,.163E-4,0
COSMOS 2251 DEB,1993-036JY,2026-08-25T05:39:47.972160,14.40805091,.0020406,74.0397,150.9189,172.6604,342.1781,0,U,34061,999,91859,.18876E-3,.579E-5,0
COSMOS 2251 DEB,1993-036JZ,2026-08-25T08:39:11.989152,14.85751996,.00681705,74.0273,351.9981,4.8773,66.0891,0,U,34062,999,92384,.9861374E-3,.8908E-4,0
COSMOS 2251 DEB,1993-036KB,2026-08-25T13:23:11.281344,14.43066831,.0022062,74.0327,155.9506,167.4997,7.5490,0,U,34064,999,91831,.2483E-3,.808E-5,0
COSMOS 2251 DEB,1993-036KC,2026-08-25T12:50:07.643616,14.38279006,.00167939,74.0363,146.8603,190.3261,344.6961,0,U,34065,999,91882,.89861391E-4,.247E-5,0
COSMOS 2251 DEB,1993-036KH,2026-08-25T07:08:54.081888,14.84112691,.0019437,74.0005,330.9171,16.7956,48.6421,0,U,34070,999,92394,.13567602E-2,.11349E-3,0
COSMOS 2251 DEB,1993-036KK,2026-08-25T14:03:36.206208,14.60720671,.0043616,74.0563,277.0882,216.0275,305.1197,0,U,34114,999,91532,.9808E-3,.4819E-4,0
COSMOS 2251 DEB,1993-036KL,2026-08-25T14:24:47.490624,14.83200979,.0030118,74.0042,95.7417,213.0118,146.9181,0,U,34115,999,93201,.57788E-3,.4724E-4,0
COSMOS 2251 DEB,1993-036KM,2026-08-25T21:36:29.373408,14.54383590,.00112068,74.0387,58.9349,74.0454,355.1477,0,U,34116,999,92209,.45735798E-3,.1918E-4,0
COSMOS 2251 DEB,1993-036KN,2026-08-25T08:42:27.652320,14.40893915,.00584355,74.0366,231.1479,247.4852,112.0112,0,U,34117,999,91804,.37270978E-3,.1193E-4,0
COSMOS 2251 DEB,1993-036KP,2026-08-25T00:07:19.555680,15.04245494,.00534753,73.9462,88.1504,212.1266,307.8916,0,U,34118,999,93002,.11367671E-2,.16315E-3,0
COSMOS 2251 DEB,1993-036KR,2026-08-25T04:42:40.184352,13.98909758,.0183087,73.9924,133.6181,265.5993,252.9100,0,U,34120,999,89552,.16141E-3,.243E-5,0
COSMOS 2251 DEB,1993-036KS,2026-08-25T08:51:17.995392,13.92767727,.02373929,73.9926,18.7538,169.0652,223.2062,0,U,34121,999,88683,.12351007E-2,.1992E-4,0
COSMOS 2251 DEB,1993-036KT,2026-08-25T08:06:21.206880,14.68031595,.00785919,74.0374,345.5465,177.5713,247.3082,0,U,34122,999,92432,.95250552E-3,.5696E-4,0
COSMOS 2251 DEB,1993-036KY,2026-08-25T20:54:46.152864,14.33424536,.01094655,74.1774,300.1783,65.8526,55.3860,0,U,34127,999,90439,.74066156E-3,.2161E-4,0
COSMOS 2251 DEB,1993-036KZ,2026-08-25T09:37:21.254016,15.19723915,.00242447,73.9865,127.1686,182.6739,295.4710,0,U,34128,999,93027,.19613332E-2,.42454E-3,0
COSMOS 2251 DEB,1993-036LA,2026-08-25T21:00:02.295648,14.79712290,.00345267,74.0307,196.4799,218.6587,141.2118,0,U,34129,999,65082,.86276044E-3,.652E-4,0
COSMOS 2251 DEB,1993-036LH,2026-08-25T03:32:00.583872,14.81596114,.0086043,74.0162,258.2083,313.9412,108.4157,0,U,34136,999,93791,.2599E-3,.2138E-4,0
COSMOS 2251 DEB,1993-036LL,2026-08-25T03:36:50.131008,14.62260061,.00407979,74.0295,125.7525,137.8835,14.0994,0,U,34139,999,91879,.8096386E-3,.4103E-4,0
COSMOS 2251 DEB,1993-036LN,2026-08-25T12:41:22.013664,14.51934649,.00536841,74.0073,267.0847,291.8190,219.7767,0,U,34141,999,91403,.83485306E-3,.3404E-4,0
COSMOS 2251 DEB,1993-036LQ,2026-08-25T06:04:55.094880,14.66582331,.0050601,74.0113,173.6113,262.6583,96.8834,0,U,34270,999,92840,.45417E-3,.2537E-4,0
COSMOS 2251 DEB,1993-036LR,2026-08-25T07:02:49.963776,14.76752950,.0017454,74.0175,60.0115,63.9230,110.4028,0,U,34271,999,92000,.12257E-2,.8589E-4,0
COSMOS 2251 DEB,1993-036LT,2026-08-25T15:35:38.088960,14.63145307,.00152227,74.0372,317.2533,4.6204,145.7594,0,U,34273,999,92362,.42478345E-3,.2158E-4,0
COSMOS 2251 DEB,1993-036LU,2026-08-25T15:14:06.020160,14.67323971,.0022442,74.0026,294.3742,9.9419,145.8898,0,U,34274,999,92426,.51065E-3,.2862E-4,0
